nome;Indirizzo;Colore Pin;Nascosto;Referente;Email;Telefono;Cellulare;Mandanti;P.IVA/C.F.;Freezco ;consegna;bonifico;fattura;incasso;incasso mancato;proroga;Visite Totali;visita dal cliente;telefonata;email;altro;Ultima Visita;Latitudine;Longitudine;Note;GentmoID
 Sporting Center | Padel Freezco;Via delle Cisternole, 12, 00044 Frascati RM, Italia;nero;;;;+39 06 9337 5008;;;;1;1;0;0;0;0;0;1;0;0;0;1;;41.822466;12.6805643;;gentmo.c.-OgMLudJxV8Ok-tbHuu4
#On Stage al Pigneto;Via Perugia, 12, 00176 Roma RM, Italia;rosso;;;;+39 351 348 9160;;;;0;5;0;0;0;0;0;5;5;0;0;0;02/05/25;41.88983470000001;12.525452;;gentmo.c.-OLFg3zqpP81JsUENfPJ
075 zerosettantacinque;Via dei Cerchi, 65, 00186 Roma RM, Italia;rosso;;;;+39 06 687 5706;;;;0;16;0;0;0;0;0;18;2;0;0;16;09/09/25;41.88796739999999;12.4839825;;gentmo.c.-ODOH_54byCu3zMuiM5k
089 Zer0ttoNove Cafè et Caffè;Piazza di S. Eustachio, 50, 00186 Roma RM, Italia;rosso;;;;+39 06 687 5641;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.8984526;12.4755235;;gentmo.c.-OQezzgXdZd7AMof8s1c
3INN;Via Olindo Malagodi, 15, 00157 Roma RM, Italia;rosso;;;;+39 329 419 2443;;;;0;0;0;0;0;0;0;0;0;0;0;0;;41.9088101;12.5360323;;gentmo.c.-OYIdAkQUBe0zf7xuTRx
404 Name Not Found;Via dei Genovesi, 1, 00153 Roma RM, Italia;rosso;;;;+39 327 094 8005;;;;0;1;0;0;0;0;0;1;1;0;0;0;20/05/25;41.88759839999999;12.4771566;;gentmo.c.-OQa5CwvRYQ1h3cQoio5
433;Via del Governo Vecchio, 123, 00186 Roma RM, Italia;rosso;;;;+39 06 6830 8796;;;;0;1;0;0;0;0;0;1;1;0;0;0;14/03/25;41.8985251;12.4698499;;gentmo.c.-OLKGWtUi3nzB91zYCMY
8 Millimetri;Via del Moro, 8, 00153 Roma RM, Italia;rosso;;;;+39 06 8893 3665;;;;0;6;0;1;0;0;0;7;3;0;0;4;12/10/25;41.8909889;12.4704917;;gentmo.c.-OMXtrNtal4pyZ_UzhGc
ALVARO Ristorante;Via Castelnuovo di Porto, 4, 00191 Roma RM, Italia;rosso;;;;+39 06 9558 2995;;;;0;13;0;0;0;0;0;13;4;0;0;9;07/10/25;41.9393664;12.4692841;;gentmo.c.-OTb7zQNvW-bln0kZyDV
AMORE DE NONNA;Via del Politeama, 8, 00153 Roma RM, Italia;rosso;;;;+39 06 8923 6877;;;;0;2;0;0;0;0;0;2;0;0;0;2;;41.8911057;12.4708319;;gentmo.c.-OdYlprzvdWOKiVzhOUV
