vendor_name,category,name,unit,price_cents,in_stock,product_code
CD Fish S.r.l.,Seafood,106 Spigole 3/4  A,Unit,790,true,
CD Fish S.r.l.,Seafood,555 Spigole 4/6  G,g,840,true,
CD Fish S.r.l.,Seafood,346 Spigole 6/8 2G,Unit,960,true,
CD Fish S.r.l.,Seafood,340 Spigole 8/1000 3G,Unit,1130,true,
CD Fish S.r.l.,Seafood,233 Spigola 1000  4G,Unit,1300,true,
CD Fish S.r.l.,Seafood,327 Spigola 1 000/1500 5G,Unit,1450,true,
CD Fish S.r.l.,Seafood,330 Spigola 1500 /+ 6G,Unit,16,true,
CD Fish S.r.l.,Seafood,265 Spigola 2000/+ 7G (preordine),g,2450,true,
CD Fish S.r.l.,Seafood,238 Orata 3/4 A,Unit,840,true,
CD Fish S.r.l.,Seafood,261 Orata 4/6  G,g,860,true,
CD Fish S.r.l.,Seafood,347 Orata 6/8  2G,Unit,1020,true,
CD Fish S.r.l.,Seafood,350 Orata 8/1000  3G,Unit,1140,true,
CD Fish S.r.l.,Seafood,386 Orata 1000 4G,Unit,1290,true,
CD Fish S.r.l.,Seafood,540 Orata 1000/1500 5G,Unit,1440,true,
CD Fish S.r.l.,Seafood,201 Orata1500/+ 6G,Unit,1580,true,
CD Fish S.r.l.,Seafood,355 Gallinella 7 00/1000,Unit,1290,true,
CD Fish S.r.l.,Seafood,532 Soas o 500/1000,Unit,1890,true,
CD Fish S.r.l.,Seafood,531 Soaso 1000/2000,Unit,2130,true,
CD Fish S.r.l.,Seafood,049 Soaso 8 00/1200,Unit,2100,true,
CD Fish S.r.l.,Seafood,050 Sogliole 03 intere,Unit,2650,true,
CD Fish S.r.l.,Seafood,517 Sogliole 03 eviscerate,Unit,2550,true,
CD Fish S.r.l.,Seafood,400 Cuore Merluzzo  Anova,Unit,1700,true,
CD Fish S.r.l.,Seafood,400 Cuore Merluzzo Bertus,Unit,1790,true,
CD Fish S.r.l.,Seafood,683 Seppie Acq ua M x3kg,Kg,1100,true,
CD Fish S.r.l.,Seafood,068 Seppia Acqua G x3kg,Kg,1150,true,
CD Fish S.r.l.,Seafood,285 Strisce  Totano Acqua x6kg,Kg,720,true,
CD Fish S.r.l.,Seafood,100 Moscardini  Acqua (60up) x3kg,Kg,880,true,
CD Fish S.r.l.,Seafood,631 Tentacoli Acqua x6kg,Kg,690,true,
CD Fish S.r.l.,Seafood,636 Anelli Acq ua x3kg,Kg,1180,true,
CD Fish S.r.l.,Seafood,103 Anelli Acq ua x6kg,Kg,1160,true,
CD Fish S.r.l.,Seafood,275 Totano Acqua Atlantico,Unit,890,true,
CD Fish S.r.l.,Seafood,977 Trancio Tonno ATM,Unit,1750,true,
CD Fish S.r.l.,Seafood,680 Trancio Tonno BIG BLUE,g,1450,true,
CD Fish S.r.l.,Seafood,216 Trancio Spada ATM,Unit,17,true,
CD Fish S.r.l.,Seafood,104 Fil. Panga sio Rosa,Unit,650,true,
CD Fish S.r.l.,Seafood,042 Fil. Persico  Anova,Unit,1090,true,
CD Fish S.r.l.,Seafood,363 Filetto Baccalà  Salato,Unit,1560,true,
CD Fish S.r.l.,Seafood,544 Trota Bianca,Unit,620,true,
CD Fish S.r.l.,Seafood,377 Trota Salmonata,Unit,640,true,
CD Fish S.r.l.,Seafood,449 Salicornia,Unit,1150,true,
CD Fish S.r.l.,Seafood,004 Lupini Mezzani,Unit,530,true,
CD Fish S.r.l.,Seafood,006 Lupini Turbo,Unit,630,true,
CD Fish S.r.l.,Seafood,486 Lupini Magnum,Unit,730,true,
CD Fish S.r.l.,Seafood,684 Lupini Bombo,Unit,890,true,
CD Fish S.r.l.,Seafood,126 Vongole Veraci Italia,Unit,1800,true,
CD Fish S.r.l.,Seafood,707 Vongole Veraci Portogallo,Unit,1400,true,
CD Fish S.r.l.,Seafood,459 Cozze Adria Italia,Unit,370,true,
CD Fish S.r.l.,Seafood,003 Cozze Sardegna,Unit,335,true,
CD Fish S.r.l.,Seafood,496 Cozze Treccia,Unit,370,true,
CD Fish S.r.l.,Seafood,012 Ostriche  8/10  x1kg Francia,Kg,820,true,
CD Fish S.r.l.,Seafood,010 Ostriche 8/10  Francia,Unit,730,true,
CD Fish S.r.l.,Seafood,013 Ostriche 12/14  Francia,Unit,790,true,
CD Fish S.r.l.,Seafood,064 Salmone 4/5,Unit,820,true,
CD Fish S.r.l.,Seafood,569 Salmone 5/6,Unit,850,true,
CD Fish S.r.l.,Seafood,583 Insalata Mare 1kg,Kg,1100,true,
CD Fish S.r.l.,Seafood,706 Filetto Salmone Aff. 160g (al pz),g,750,true,
CD Fish S.r.l.,Seafood,629 Alici Marinate 1kg,Kg,10,true,
CD Fish S.r.l.,Seafood,122 Astici Canada,Unit,2350,true,
CD Fish S.r.l.,Seafood,387 Pezzogna 600/800,Piece,2690,true,
CD Fish S.r.l.,Seafood,390 Ricciola 800/1300,Unit,1480,true,
CD Fish S.r.l.,Seafood,376 Coda Rospo 1000/2000,Unit,1880,true,
CD Fish S.r.l.,Seafood,239 Spinarolo G,g,1070,true,
CD Fish S.r.l.,Seafood,275 Totano Acqua Atlantico,Unit,890,true,
CD Fish S.r.l.,Seafood,Filetti Brotula,Unit,1250,true,
CD Fish S.r.l.,Seafood,Nasello Spagna 700/1000,Unit,880,true,
CD Fish S.r.l.,Seafood,502 Astici Canada 450/550gr.,g,1800,true,
CD Fish S.r.l.,Seafood,085 Aragosta Locale Cong.,Unit,6000,true,
CD Fish S.r.l.,Seafood,052 Gambero Rosso I Sicilia,Unit,5550,true,
