vendor_name,category,name,unit,price_cents,in_stock,product_code
General Beverage Distributor,Beverage,"01035 ACQUA EGERIA  0,5 LT *24 PET LISCIA 0,50 CRT 24 4,50",0.5L Unit,19,true,
General Beverage Distributor,Beverage,"01034 ACQUA EGERIA 0,5 LT * 24 PET EFF. NAT. 0,50 CRT 24 4,50",0.5L Unit,19,true,
General Beverage Distributor,Beverage,"01007 ACQUA LAURETANA CL 50*24  PET NAT 0,50 CRT 24 9,60",0.5L Unit,40,true,
General Beverage Distributor,Beverage,"01057 ACQUA LEVISSIMA FRIZ 0.50*24 PET 0,50 CRT 24 6,45",0.5L Unit,27,true,
General Beverage Distributor,Beverage,"01052 ACQUA LEVISSIMA NAT 0.50*24 PE T 0,50 CRT 24 6,45",0.5L Unit,27,true,
General Beverage Distributor,Beverage,"01022 ACQUA NEPI CL 50*24 PET EFF.NAT 0,50 CRT 24 5,10",0.5L Unit,21,true,
General Beverage Distributor,Beverage,"01091 ACQUA PANNA CL 50 X 24 PET 0,50 CRT 24 10,50",0.5L Unit,44,true,
General Beverage Distributor,Beverage,"01044 ACQUA S. BENED. MINI TOWER NAT CL50*28 PET 0,50 CRT 28 6,00",0.5L Unit,21,true,
General Beverage Distributor,Beverage,"01017 ACQUA S. BENEDETTO DI POP. CL.50*24  FR 0,50 CRT 24 4,95",0.5L Unit,21,true,
General Beverage Distributor,Beverage,"01020 ACQUA S. BENEDETTO DI POP. CL.50*24  NAT 0,50 CRT 24 4,95",0.5L Unit,21,true,
General Beverage Distributor,Beverage,"01031 ACQUA S. BENEDETTO DI POP. CL.50 * 24  L 0,50 CRT 24 4,95",0.5L Unit,21,true,
General Beverage Distributor,Beverage,"01014 ACQUA S.PELLEGRINO CL 50 X 24 FRIZZ. PET 0,50 CRT 24 10,95",0.5L Unit,46,true,
General Beverage Distributor,Beverage,"01104 ACQUA TULLIA CL 50X24 PET LEGG .FRIZ. 0,50 CRT 24 4,73",0.5L Unit,20,true,
General Beverage Distributor,Beverage,"01103 ACQUA TULLIA CL 50X24 PET NAT 0,50 CRT 24 4,73",0.5L Unit,20,true,
General Beverage Distributor,Beverage,"01012 ACQUA EGERIA LITRO PET X 12 EFF.NAT. 1,00 CRT 12 4,73",Case,39,true,
General Beverage Distributor,Beverage,"01013 ACQUA EGERIA LITRO PET X 12 LISCIA 1,00 CRT 12 4,73",Case,39,true,
General Beverage Distributor,Beverage,"01041 ACQUA NEPI LITRO PET TOWER *12 1,00 CRT 12 4,95",Case,41,true,
General Beverage Distributor,Beverage,"01040 ACQUA S. BENED. TOWER PET NAT.  LT 1 X 12 1,00 CRT 12 4,88",Case,41,true,
General Beverage Distributor,Beverage,"01106 ACQUA TULLIA LT 1X12 PET LEGG. FRIZZ. 1,00 CRT 12 4,95",Case,41,true,
General Beverage Distributor,Beverage,"01105 ACQUA TULLIA LT 1X12 PET NAT 1,00 CRT 12 4,95",Case,41,true,
General Beverage Distributor,Beverage,"01033 ACQUA EGERIA 1,5 LT *6 PET EFF. NAT 1,50 CRT 6 2,85",1.5L Unit,47,true,
General Beverage Distributor,Beverage,"01048 ACQUA LAURETANA NAT. LT 1,5*6 1,50 CRT 6 4,13",1.5L Unit,69,true,
General Beverage Distributor,Beverage,"01023 ACQUA NEPI  LT. 1,5 * 6 PET EFF.NAT 1,50 CRT 6 3,45",1.5L Unit,58,true,
General Beverage Distributor,Beverage,"01036 ACQUA S. BENEDETTO DI POP. LT.1.5*6 NAT. 1,50 CRT 6 2,70",1.5L Unit,45,true,
